day,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Probability
1,7.080794504276835,219.67426193471448,22210.613083285505,5.875041088125667,333.7757766108135,398.5177031387568,11.502315629592148,112.41221043181724,2.9942592099578635,0.61613
2,6.783888467541533,193.65358060131555,13677.10644058598,5.171453573375093,323.7286632332804,477.8546872578033,15.056064094821464,66.39629294676803,3.250022229204365,0.49642
3,6.010617576533585,184.55858174244537,15940.573270538474,8.165222040842318,421.4860891671315,314.5298133899644,20.31461673780456,83.70793779298934,4.867287404331263,0.88088
4,8.097453770731768,218.9924361418924,18112.28444651079,6.196947393934283,333.7757766108135,376.5698033733333,17.7462635237124,59.909940872345686,4.279082403805938,0.61619
5,8.072612402985689,210.2697797493537,16843.36392740596,8.793458647829395,359.5161693303079,559.1675739231314,17.263576037622727,68.73898910812215,5.082206246764563,0.90718
6,6.552847474374976,198.8069396513827,34006.42073313584,8.691206175159937,274.90435120291863,477.1639067796365,14.369630090209853,78.17306258634733,4.687986155246704,0.74463
7,8.92398060773871,135.93846747362704,27919.77066575312,12.363284825310048,333.7757766108135,415.6294837691602,11.949913820916548,69.31487957880282,4.1555831895229565,0.68657
8,9.62472688627138,217.37277968545845,25175.75415819416,9.883945511518238,329.17445409836057,394.0548352528269,20.27757140763049,85.84025770348191,2.615257476344297,0.72014
9,7.046548537016283,128.4825173986405,30569.8105511719,4.449122632711616,281.72471449558566,348.26459071234075,15.142005565420332,58.15730431450026,2.869226101819664,0.30227
10,8.137767883092494,203.8618673386868,24172.70331260775,6.844017626422233,305.83257968719704,470.83626451802894,19.232961414138344,30.708421300394185,5.003825786209145,0.63974
11,7.082300649174803,169.4689272555765,29846.719056712125,5.443386888459754,350.40184898110226,353.030380268577,18.959534377575096,30.389096114304888,3.485577388223123,0.43305
12,6.084360116189226,155.27142514949523,27310.0608479416,7.817129174994376,333.7757766108135,436.9889344088214,12.657512470315396,66.39629294676803,4.298110919527294,0.61062
13,7.080794504276835,167.1044296160452,30362.68394790395,9.99033219721896,362.2616360724188,432.0307099061292,9.971476405234055,94.9841012731818,3.346057063483423,0.68706
14,5.71625135415621,184.22929497726088,19393.46986193756,5.2991636367056,290.27645455813,502.9936866234463,19.64389585568012,68.23637027968861,3.433135384725815,0.58584
15,5.827541211542772,191.00493039601548,25863.34324460301,4.823831505497688,316.025512946158,370.3572882122672,18.36185806407758,48.6581086223875,3.1791287413400817,0.41998
16,4.227537385918204,201.44748661230824,13122.329581176047,6.932557933203627,374.8435383456557,402.6607735191696,22.823293103832043,76.46942648405705,4.479628314203464,0.82403
17,7.080794504276835,253.14965119784927,12037.7703855776,4.3843577068519615,325.41324793204274,422.38929182341286,13.168299231900846,40.05215064769633,3.3999454918012777,0.34853
18,4.150214299745359,174.92674117052437,41489.6398141628,5.56986865811152,333.7757766108135,425.2500464971024,12.534008729084915,86.68363454098444,3.502370872206418,0.60228
19,7.233538435483264,231.5608322393944,16621.494788968663,6.0730409069883,333.7757766108135,475.8216448594685,8.688714873315973,35.83396852956144,3.679015067771328,0.3609
20,6.352973105397818,244.84671672623384,13858.703935543015,9.179441914873149,333.7757766108135,403.5604822630333,12.520126136193994,59.046993548815095,4.155494640010192,0.58127
21,7.080794504276835,191.53163008477,12885.516912011995,6.979954608076548,328.60022093335806,596.7510259112656,13.447513114523758,50.75606431714502,2.37292472175806,0.43706
22,10.316400384553162,217.2668424334475,10676.508475429378,3.4455145710057447,397.75494597519247,492.20647361771086,12.81273220758254,72.28192021570328,3.4073494284238364,0.57667
23,7.080794504276835,200.8398943783465,20743.348404224074,6.9059880811619925,264.6435334809822,450.361719643501,10.20915260559974,70.49560182837315,3.8089129537722095,0.45962
24,6.443753668445058,196.61599162323736,25740.412590741085,2.4843799772443687,435.6727646007556,352.35362276975275,16.92441863858477,33.051887705343525,4.498684931428612,0.53739
25,6.0131609664611165,218.84325608559013,21573.747571113927,9.29585200073896,321.1683132149535,444.2766349599716,14.744347366499936,62.44323904691304,3.455622540984072,0.58781
26,6.641500687280974,198.88440946619727,27867.486756939925,7.327729345294115,318.408397185988,573.723762288018,13.191719634585809,81.55111393074623,4.694311215541648,0.8022399999999998
27,7.080794504276835,172.21468280183308,26653.76496571764,7.271684606484637,335.894456356063,510.0297247586445,13.809874030631704,85.38168152404006,4.492387447051166,0.7746499999999998
28,5.089387791182689,147.99527105647252,39659.87689806039,8.424877818363992,333.7757766108135,498.7008895433159,14.94358480755278,84.25426403896128,3.0540452006756715,0.68296
29,6.467868301691497,236.69464808871123,7656.41324825941,9.8409485538097,214.46083377454596,356.3478418738045,14.412733586189232,54.641175534182,2.861063942572024,0.30203
30,4.850104171409935,186.6761758414073,32808.30750316629,7.496262512744353,293.75792693247007,392.7004931377779,10.63076914845368,85.15798297045511,3.8853855181381753,0.55899
31,5.5419790193089264,185.67187362857936,20143.06526175513,10.236175974570024,209.47105843525284,517.9357855247945,18.46401541280278,49.37131866346893,3.6729759831771327,0.53303
32,8.858401531200467,254.61751866421665,9624.300462110112,7.954015627092477,348.40819490164074,344.30336252225874,7.935467758332208,78.10854981556726,5.525726338121716,0.67038
33,5.218989651481936,164.79099156176568,27007.8869057916,6.592516958774432,333.7757766108135,422.2238018334672,14.070878980982856,73.92031967832118,4.383942553936008,0.63834
34,7.606066882417411,248.0414532652988,14609.976883468133,6.356555064233982,322.3565718913334,275.31714604250067,11.706095193068222,94.7752437833952,4.581477460023954,0.61339
35,9.0894210984221,208.914720039294,32238.077782489603,6.895013644713986,321.0804652406088,449.25997564536,12.514641255723577,89.21307429428107,4.430116016254489,0.74568
36,7.499844231952879,210.98503367329369,23707.46530424464,7.148518353215487,333.7757766108135,484.8433398184719,18.081956598862632,52.96746903029262,4.454476672661552,0.70505
37,4.73132007599374,230.93869346540907,15517.391122228668,6.614705131814585,333.7757766108135,384.80673025189407,16.620932987040874,64.03825998166424,5.457892224487644,0.71823
38,6.613709117641848,141.12892152143127,25648.569496257434,7.222971556697549,295.23689211539164,374.770315796252,14.038263256862194,74.29924980115898,3.539771111373992,0.49202
39,6.347020017898686,97.28090859780744,19743.14841649457,3.4026815899619844,305.43123624624263,502.9190132295652,15.09409115186628,86.55416824334112,4.526350938820338,0.62309
40,5.287982807934926,245.02346111649337,27733.71309889203,7.135063441641857,238.8440036875379,464.0748499377378,13.452179490174672,55.64236316952619,3.3110340047208244,0.42413
41,6.640862809077265,215.06086694339209,16488.04765596487,6.642337169245401,304.7574336004323,507.128833334956,11.979156801454735,18.015272358161447,4.708268601649436,0.42736
42,6.539546127935385,215.44520444495868,28979.76760108172,7.015365326271724,312.3354721194512,426.08347881627714,17.950000556919576,54.98387785049692,4.076403287338456,0.62415
43,5.849778285365157,229.93668686719604,27435.30656081618,6.574957586178768,277.0330189335624,596.4032156995681,14.908558310857586,67.6444838248747,3.6438158875415607,0.63742
44,6.692531669059861,200.40435093805635,37033.152091371725,4.7270723230968885,280.84491621171605,376.67279421564285,12.485256989916648,57.8184837106709,2.942115367138417,0.33711
45,7.764142610002181,186.13243188501767,25926.075642581047,8.011206635842331,333.7757766108135,399.13171794893873,22.84652910661083,35.24367838874416,4.105178268056135,0.64228
46,8.154531511065274,168.09893538502115,21361.19705285079,6.19884397985866,333.7757766108135,419.1733119911465,12.302668565189776,59.887367056839615,2.460464866914837,0.3615
47,6.039823242055416,164.02634033157307,9943.637598533212,7.723304587478268,350.7562609485109,374.7947193794346,16.66844562078319,65.5426615940809,3.9237660749446888,0.57497
48,7.957113516429416,199.1075048312045,20425.76649043284,8.171994841481562,380.0781732018948,333.156538160031,14.53785020291764,62.246357870876736,3.7298733005458473,0.58195
49,6.710633528014908,203.6429166718787,23748.18399201373,6.726664085659697,342.4414334736414,455.9675579944937,15.87954856980474,63.67695249488976,3.8632869089931146,0.63076
50,8.55107774771961,216.41593213399565,28909.29028415305,6.936782341455183,295.2237066551887,510.89500072429865,16.2023714425128,79.85932285927393,4.046379690043383,0.73556
51,7.360640105838257,165.52079725952862,32452.614409143884,7.5507009067041135,326.62435345560164,425.3834194953873,15.586810438033126,78.74001566430478,3.662291782852457,0.65801
52,7.378597016258659,175.98244710908247,9460.322635339888,5.941011848136728,333.7757766108135,402.0199448838444,15.639454764394031,37.38945161934357,3.215219463201259,0.34761
53,3.6371706253558047,238.94374429692908,10102.489720279777,7.532191965992925,337.5344254868793,509.1503233017944,13.818450253490084,49.652834136859504,5.446565702616764,0.69246
54,3.841205038045167,186.91776546178497,19988.649261869065,7.1749522518246245,333.7757766108135,483.3342093477697,13.422801757550756,74.38170140421502,3.635634542700212,0.59216
55,7.197795991543301,168.6409754216763,12763.267889422756,6.897594139847024,333.7757766108135,566.2506937095443,12.437570967417455,65.74671735384119,3.844013286795057,0.59331
56,6.707685556382788,199.28537429982467,17435.340205976172,6.809945058547433,333.7757766108135,454.73241001768974,14.58729015696406,81.37845107001321,3.8226687145376768,0.6481
57,5.470802484400142,213.16047846432207,18295.370921392856,6.0433954485275,333.7757766108135,317.9484586249376,13.789267236562296,49.64245119325531,2.962852429032913,0.32609
58,7.296037733901175,235.7351929386128,36043.706637766045,5.196212760217538,377.190665708766,385.6143206903208,17.052713257315872,89.62355084319452,4.168526117629012,0.80476
59,6.571099216507485,207.7410250148432,23372.882653692348,6.280195162130877,313.8469724655427,497.90231984559006,12.874804979031408,75.41671019846201,4.555949236427071,0.67623
60,7.080794504276835,220.5525236026964,28135.07683795839,7.978098114405478,307.6524514688484,421.464253153056,17.53229783616615,86.84809787970056,3.569570266317617,0.71501
61,9.002583109651113,202.9907652715344,19523.12486468928,7.244753274494474,330.36151226896965,366.49172865989806,15.689404490512343,55.697399521310864,4.904837414733298,0.63499
62,5.226941884272904,177.31960335088084,28398.55419637244,6.294517392979037,336.2929184546406,328.3874298042128,18.463094761579384,62.07590198942495,2.2595502886491894,0.41531
63,6.246117565172954,199.09897329297937,27001.335319183105,7.808013457146304,296.92362552064134,478.74594530050337,17.128023270048516,84.79895625388642,4.755158013341267,0.81171
64,8.310029020048852,212.69827636661776,40936.15339124551,7.703374743177987,301.2544217151517,365.4312124889024,12.97186896038204,70.48525056030908,4.775784922040909,0.67444
65,7.080794504276835,178.77771608491037,10490.838986806202,7.5330420019372095,354.05764852081126,367.75868924744896,14.66895004953642,57.40146511939064,4.126407533121048,0.53644
66,6.783023739620584,236.2788665335002,8213.772244714322,9.332861241558128,333.7757766108135,501.0185347496342,11.590706615138856,91.68093129587082,4.778808149718985,0.80257
67,5.830542048973098,165.4670247187328,30021.257078522056,8.433096578121011,334.39777726148577,494.15450474617086,16.666613474739336,69.58025301155764,5.192116650426924,0.8369299999999998
68,9.319176393077573,199.3335654213,14294.240349959267,7.784940449239422,366.05175188089055,338.44144996454025,15.215292663693788,63.39146814555416,4.129230416389857,0.6052
69,8.185923417313038,240.97910376231368,23641.472028426168,6.611448597083937,318.6890103719636,410.1582218451634,13.1099108733074,56.91398086899888,3.566945145029043,0.49665
70,6.0395677903078,246.69285470996635,39489.0097363008,3.1949687604769608,333.7757766108135,357.98631255710114,13.239355515057184,78.40453380500973,4.206835504487217,0.5968
71,7.425102223222056,204.48628164651856,18608.940873849617,7.434492747579629,318.18329661711186,338.93527092327014,16.24475501404072,94.60531109309896,2.5587727443235098,0.54619
72,6.057828113719532,230.717693330778,44868.45836802399,6.443391565892092,333.7757766108135,397.2367838901215,14.037903158503354,76.70160915731434,3.2922492668733674,0.61708
73,5.895145558138062,192.04136914735767,14704.906246105584,7.905768670318106,305.8077373909683,429.7662232666164,15.018137686499756,44.88759753687624,5.075214287652746,0.58343
74,7.080794504276835,205.95225013932736,29743.82259523452,7.5186920087986975,333.7757766108135,430.24601010708216,20.720472883612896,82.39676576905185,3.893925990895263,0.8049199999999999
75,10.560744636218196,181.8933655615536,21783.651033363367,6.991259996238134,340.39037835517297,456.5564021223437,16.48283536696391,34.2520490783523,3.964686350022129,0.53841
76,5.28029229639521,164.05738871795833,13679.05690473032,5.971385389371608,333.7757766108135,635.8884840582251,11.805625077563093,35.433863716753535,3.835305907991308,0.47056
77,7.080794504276835,171.6950224337254,38971.05101037508,8.365578507652103,385.9537304221227,397.4417128034464,17.20160786765331,73.64699560645042,2.6432124116405253,0.65685
78,4.03406341143777,303.7026267264731,33219.0745454325,4.425559304367553,333.7757766108135,494.3209070841117,13.415230462777174,72.01264198602534,5.024742306559978,0.75997
79,10.033933455332264,213.64741863108847,25433.232095308107,5.202937534233646,319.010074348213,362.2621568252554,13.994461152064275,68.02076987811897,2.9015354674454747,0.43784
80,6.475885398609552,177.29494944025316,16532.82882248396,10.096587966022383,305.2489447455404,466.6494199714444,6.776145723392403,65.14649030131608,4.30611297137217,0.52094
81,6.869638941459091,251.29344753734168,21728.821295296457,8.803174745405899,279.7768565455964,539.466876868315,12.994140000006157,56.40970791971599,4.72670245351097,0.67502
82,6.978664262373817,183.24279619429385,23114.446075687887,6.500825401623311,323.1557768835911,470.07870531553374,16.08284747893407,65.99571677480579,4.766943236072579,0.69995
83,5.69447554633745,193.43213025278828,18742.9252223898,6.556668444833776,327.0023706311516,448.7541507795936,13.6233079951204,56.326496615847695,4.107467119295052,0.53407
